source
WP: http://www.washingtonpost.com/world/al-qaeda-force-captures-fallujah-amid-rise-in-violence-in-iraq/2014/01/03/8abaeb2a-74aa-11e3-8def-a33011492df2_story.html<br />NYT: http://www.nytimes.com/interactive/2014/06/12/world/middleeast/the-iraq-isis-conflict-in-maps-photos-and-video.html<br />
LWJ: https://maps.google.com/maps/ms?ie=UTF8&hl=en&oe=UTF8&msa=0&msid=206503076099972915830.0004fb81021906110e889&t=m&source=embed&ll=37.561997%2c39.70459&spn=6.094982%2c12.084961&z=6&iwloc=0004fb83527099a223992&dg=feature<br /><br />
LWJ: https://maps.google.com/maps/ms?ie=UTF8&hl=en&oe=UTF8&msa=0&msid=206503076099972915830.0004fb81021906110e889&t=m&source=embed&ll=37.561997%2c39.70459&spn=6.094982%2c12.084961&z=6&iwloc=0004fb83527099a223992&dg=feature<br />NYT: http://www.nytimes.com/interactive/2014/06/12/world/middleeast/the-iraq-isis-conflict-in-maps-photos-and-video.html<br />
LWJ: https://maps.google.com/maps/ms?ie=UTF8&hl=en&oe=UTF8&msa=0&msid=206503076099972915830.0004fb81021906110e889&t=m&source=embed&ll=37.561997%2c39.70459&spn=6.094982%2c12.084961&z=6&iwloc=0004fb83527099a223992&dg=feature<br /><br />
LWJ: https://maps.google.com/maps/ms?ie=UTF8&hl=en&oe=UTF8&msa=0&msid=206503076099972915830.0004fb81021906110e889&t=m&source=embed&ll=37.561997%2c39.70459&spn=6.094982%2c12.084961&z=6&iwloc=0004fb83527099a223992&dg=feature<br /><br />
LWJ:https://maps.google.com/maps/ms?ie=UTF8&hl=en&oe=UTF8&msa=0&msid=206503076099972915830.0004fb81021906110e889&t=m&source=embed&ll=37.561997%2c39.70459&spn=6.094982%2c12.084961&z=6&iwloc=0004fb83527099a223992&dg=feature<br />Press TV: http://www.presstv.ir/detail/2014/01/16/345872/iraq-forces-retake-western-town/<br />
LWJ:https://maps.google.com/maps/ms?ie=UTF8&hl=en&oe=UTF8&msa=0&msid=206503076099972915830.0004fb81021906110e889&t=m&source=embed&ll=37.561997%2c39.70459&spn=6.094982%2c12.084961&z=6&iwloc=0004fb83527099a223992&dg=feature<br /><br />
The Independent: http://www.independent.co.uk/news/world/middle-east/iraq-crisis-isis-offensive-years-in-the-planning-has-turned-into-a-bloody-merciless-rampage-9539083.html<br />NYT: http://www.nytimes.com/interactive/2014/06/12/world/middleeast/the-iraq-isis-conflict-in-maps-photos-and-video.html<br />
The independent: http://www.independent.co.uk/news/world/middle-east/iraq-crisis-isis-offensive-years-in-the-planning-has-turned-into-a-bloody-merciless-rampage-9539083.html<br />NYT: http://www.nytimes.com/interactive/2014/06/12/world/middleeast/the-iraq-isis-conflict-in-maps-photos-and-video.html<br />
UN Iraq: http://www.uniraq.org/index.php?option=com_k2&view=item&id=2124:new-idps-map-by-province-18-june-2014&Itemid=626&lang=en<br />Time: http://time.com/2857751/iraq-tikrit-baghdad-isis-mosul/<br />NYT: http://www.nytimes.com/interactive/2014/06/12/world/middleeast/the-iraq-isis-conflict-in-maps-photos-and-video.html
