guid,city,latitude,longitude,date,level,desc,source,source2,source3,,,,
2014-67,Khaldiya,33.3844,43.5252,6/25/14,Contested,,NYT: http://www.nytimes.com/interactive/2014/06/12/world/middleeast/the-iraq-isis-conflict-in-maps-photos-and-video.html,,,,,,
2014-68,Albu Bali ,33.4607,43.4741,6/25/14,Contested,,NYT: http://www.nytimes.com/interactive/2014/06/12/world/middleeast/the-iraq-isis-conflict-in-maps-photos-and-video.html,,,,,,
2014-69,Baiji,34.9292,43.4931,6/25/14,Contested,"State televisions claims that 19 of the rebels were killed whilst officals and witnesses states that the dead were civilians, 6 more people are killed in evening raids ",The Telegraph: http://www.telegraph.co.uk/news/worldnews/middleeast/iraq/10924553/Iraq-crisis-US-troops-arrive-in-Baghdad-as-government-regains-Syria-border-crossing-from-Isis.html,,,,,,
2014-70,Ajeel Oil Wells,34.8273,43.6707,6/25/14,ISIS (IS),"militants overran the Ajeel oil site, 30 km (20 miles) east of Tikrit, which contains at least three small oilfields that produce 28,000 barrels per day. Local tribe leader are reported to have taken responsibility of protecting the oil fields after government troop ran ",Reuters: http://www.reuters.com/article/2014/06/25/us-iraq-security-idUSKBN0F00RO20140625,"LWJ: https://maps.google.com/maps/ms?ie=UTF8&hl=en&oe=UTF8&msa=0&msid=206503076099972915830.0004fb81021906110e889&t=m&source=embed&ll=34.939985,41.616211&spn=6.302619,12.304687&z=6&dg=feature",,,,,
2014-71,Burwana,34.0992,42.3892,6/25/14,Contested,"Government forces were waiting here to confront ISIS troop and stop them from advancing further, outcome unknown. ",NYT: http://www.nytimes.com/interactive/2014/07/03/world/middleeast/syria-iraq-isis-rogue-state-along-two-rivers.html,,,,,,
2014-72,Tikrit,43.4383,34.6,6/26/14,Contested,Iraqi Special Forces are reported to have dropped snipers into Tikrit University ,Reuters: http://af.reuters.com/article/worldNews/idAFKBN0F20SD20140628?sp=true,,,,,,
2014-73,Mahmudiyah ,33.0617,44.3542,6/26/14,Contested,"IS is said to have attacked Mahmudiyah raising concerns that they are planning to attack the ""Baghdad Belt,"" Shiite militants have set up checkpoints after a mortar and bomb attack by IS ",WP: http://www.washingtonpost.com/world/iraqi-parliament-to-convene-july-1-maliki-seeks-unity-in-face-of-militants/2014/06/26/a9a65d19-8ddc-441d-8e36-d2faccf6571e_story.html,,,,,,
2014-74,Mansuriyah 1 oil well,4.0675,44.9276,6/26/14,ISIS (IS),,http://news.gnom.es/news/iraq-crisis-battles-executions-and-drones-as-troops-battle-isis,"LWJ: https://maps.google.com/maps/ms?ie=UTF8&hl=en&oe=UTF8&msa=0&msid=206503076099972915830.0004fb81021906110e889&t=m&source=embed&ll=34.939985,41.616211&spn=6.302619,12.304687&z=6&dg=feature",,,,,
2014-75,Hawija ,43.7667,35.3167,6/27/14,ISIS,"Reports of fighting between ISIS and local Sunni militia, 15 killed.  ",al Arabiya: http://english.alarabiya.net/en/News/middle-east/2014/06/28/Syria-opposition-fighters-expel-ISIS-from-eastern-city-.html,,,,,,
2014-76,Al-Alam,34.6689,43.6967,6/27/14,Contested,Reported that anti ISIS Iraqi Sunni tribes cleared ISIS from the area allowing Iraqi police to regain control. ,ISW: http://iswiraq.blogspot.com/,,,,,,
2014-77,Mosul ,43.13,36.34,6/28/14,Contested,"Claims of mulitple happenings within and around the city included those that Peshmerga troops have bloked access roads out of Mosul, ISIS have cut of water distribution in the districts north and east of Mosul and that there have been airstrikes within the city targeting ISIS  ",ISW: http://iswiraq.blogspot.com/,,,,,,
2014-78,Tikrit,43.4383,34.6,6/28/14,Contested,"Reports that ISF have lauched an attack on the city both on the ground and in the air, there is some indications that ISIS have laid IEDs on the roads entering the city in order to block ISF's advances. Further reports seem to indicate that ISIS have now abandoned Tikrit's governorate building and that more government trop",ISW: http://iswiraq.blogspot.com/,The Daily Star:  http://www.dailystar.com.lb/News/Middle-East/2014/Jun-29/261996-iraqi-military-making-slow-progress-in-tikrit.ashx#axzz368l9RnUP,,,,,
2014-79,Tuz Khumatu ,44.6383,34.8772,6/28/14,Peshmerga controlled ,,ISW: http://iswiraq.blogspot.com/,,,,,,
2014-80,Kirkuk,35.4631,44.3797,6/28/14,Peshmerga controlled ,,ISW: http://iswiraq.blogspot.com/,,,,,,
2014-81,Baghdad ,33.325,44.422,6/28/14,US action,Reports that the US is flying unmaned drones over Baghdad in an effort to protect and show support for American militray advisors. ,ISW: http://iswiraq.blogspot.com/,,,,,,
2014-82,Sharqat,35.5288,43.2324,6/29/14,ISIS,Reports that ISIS gunmen kidnapped 20 Iraqi Army and Iraqi Police ofiicers as well as detonating IEDs around houses in the north. ,ISW: http://iswiraq.blogspot.com/,,,,,,
2014-83,Jurf al-Sakhar,32.8647,44.2062,6/29/14,Contested,"Reports of heavy clashes between ISIS and IA, IP and volunteers wanting to repel ISIS. Although there have been claims that rounds of mortars have been fired no causalties have been reported. ",ISW: http://iswiraq.blogspot.com/,NYT: http://www.nytimes.com/2014/06/22/world/middleeast/iraq.html,,,,,
2014-84,Saqlawiyah,43.6833,33.3964,7/1/14,Contested,,NYT: http://www.nytimes.com/interactive/2014/06/12/world/middleeast/the-iraq-isis-conflict-in-maps-photos-and-video.html,,,,,,
2014-85,Mosul ,43.13,36.34,7/1/14,ISIS (IS),,NYT: http://www.nytimes.com/interactive/2014/06/12/world/middleeast/the-iraq-isis-conflict-in-maps-photos-and-video.html,,,,,,
2014-86,Tuz Khumatu ,44.6383,34.8772,7/1/14,Contested,,NYT: http://www.nytimes.com/interactive/2014/06/12/world/middleeast/the-iraq-isis-conflict-in-maps-photos-and-video.html,,,,,,
2014-87,Saadiyah ,34.19,45.1112,7/1/14,Contested,,NTY: http://www.nytimes.com/interactive/2014/06/12/world/middleeast/the-iraq-isis-conflict-in-maps-photos-and-video.html,,,,,,
2014-88,Trebil ,32.755,39.0449,7/1/14,Contested,,NYT: http://www.nytimes.com/interactive/2014/06/12/world/middleeast/the-iraq-isis-conflict-in-maps-photos-and-video.html,,,,,,
2014-89,Kirkuk,35.4631,44.3797,7/1/14,Peshmerga Controlled,"Although ultimately it is the Peshmerge that are in control of the city, IS are still looking at this city as a goal but realise that it would be difficult to take it over as the majority of the civilians are Kurdish and would most likely rebel against them. ",Al Jazeera: http://america.aljazeera.com/watch/shows/america-tonight/articles/2014/7/1/for-iraqa-s-kurdspossibilityofindependenceanaindescribablefeelin.html,,,,,,
2014-90,Al-Daira ,33.6833,44.9167,7/1/14,Contested,,NYT: http://www.nytimes.com/interactive/2014/06/12/world/middleeast/the-iraq-isis-conflict-in-maps-photos-and-video.html,Daily Star: http://www.dailystar.com.lb/Article.aspx?id=196230#axzz368l9RnUP,,,,,
2014-0a,Hilliah ,32.4833,44.4333,,,"69 prisoners, all whom were accused of being terrorist, are believed to have been executed by Iraqi Government forces whilst they were being tranfered to another prison. Government officals claim that the convoy of prisoner was attack by the militants and died as a result, whilst other reports seem to suggest that these prisoners executed to prevent them from joining ISIS. ",Daily Star: http://www.dailystar.com.lb/News/Middle-East/2014/Jun-28/261896-mass-iraq-prisoner-deaths-hint-at-executions.ashx#axzz368l9RnUP,BBC: http://www.bbc.com/news/world-middle-east-27983222,,,,,
2014-0b,Al-Daira ,33.6833,44.9167,,,,,,,,,,
2014-0c,Al Kasik Air Base ,36.4964,42.6599,,Peshmerga Controlled,,"LWJ: https://maps.google.com/maps/ms?ie=UTF8&hl=en&oe=UTF8&msa=0&msid=206503076099972915830.0004fb81021906110e889&t=m&source=embed&ll=34.939985,41.616211&spn=6.302619,12.304687&z=6&dg=feature",Daily Beast: http://www.thedailybeast.com/articles/2014/06/13/kurdish-forces-are-pushing-back-against-isis-gaining-ground-around-mosul.html,,,,,
2014-0d,Sinjar ,36.32,41.86,,Contested,,"LWJ: https://maps.google.com/maps/ms?ie=UTF8&hl=en&oe=UTF8&msa=0&msid=206503076099972915830.0004fb81021906110e889&t=m&source=embed&ll=34.939985,41.616211&spn=6.302619,12.304687&z=6&dg=feature",,,,,,
