guid,city,latitude,longitude,date,level,desc,source,source2,source3,,,,
2014-16,Sharqat,35.5288,43.2324,6/11/14,ISIS,"80 ISIS men took city and nearby Qaiyarah air base, reports that ISIS militants took a black hawk helicopter from base. ",ISW: http://iswiraq.blogspot.com/,al-Monitor: http://www.al-monitor.com/pulse/security/2014/06/iraq-isis-control-mosul.html,NYT: http://www.nytimes.com/interactive/2014/06/12/world/middleeast/the-iraq-isis-conflict-in-maps-photos-and-video.html,,,,
2014-17,Siniyah ,35.0134,43.4056,6/11/14,ISIS,,LWJ: https://maps.google.com/maps/ms?ie=UTF8&hl=en&oe=UTF8&msa=0&msid=206503076099972915830.0004fb81021906110e889&t=m&source=embed&ll=37.561997%2c39.70459&spn=6.094982%2c12.084961&z=6&iwloc=0004fb83527099a223992&dg=feature,NYT: http://www.nytimes.com/interactive/2014/06/12/world/middleeast/the-iraq-isis-conflict-in-maps-photos-and-video.html,,,,,
2014-18,Suleiman Bek,34.7441,44.6607,6/11/14,ISIS,Reported to have fallen without a fight ,LWJ: https://maps.google.com/maps/ms?ie=UTF8&hl=en&oe=UTF8&msa=0&msid=206503076099972915830.0004fb81021906110e889&t=m&source=embed&ll=37.561997%2c39.70459&spn=6.094982%2c12.084961&z=6&iwloc=0004fb83527099a223992&dg=feature,BBC: http://www.bbc.com/news/world-middle-east-28053489,al- Monitor: http://www.al-monitor.com/pulse/security/2014/06/iraq-isis-spread-fears-civil-war.html,,,,
2014-19,Tikrit,43.4383,34.6,6/11/14,ISIS,"Entrances and exits to the city closed by ISF, clashes between ISF and ISIS, later reports claim that ISIS seized checkpoints in rural areas surrounding Tikrit and that ISIS had set provincial government building on fire. Prisoners that were freed from city jails reported to have joined ISIS, heavy clashes following ISIS gunmen entering the city from different directions.",ISW: http://iswiraq.blogspot.com/,LWJ: https://maps.google.com/maps/ms?ie=UTF8&hl=en&oe=UTF8&msa=0&msid=206503076099972915830.0004fb81021906110e889&t=m&source=embed&ll=37.561997%2c39.70459&spn=6.094982%2c12.084961&z=6&iwloc=0004fb83527099a223992&dg=feature,NYT: http://www.nytimes.com/interactive/2014/06/12/world/middleeast/the-iraq-isis-conflict-in-maps-photos-and-video.html,BBC: http://www.bbc.com/news/world-middle-east-27800319,Time: http://time.com/2859454/iraq-tikrit-isis-baghdad-mosul/,Telegraph: http://www.telegraph.co.uk/news/worldnews/middleeast/iraq/10892299/Iraq-crisis-ISIS-militants-push-towards-Baghdad-as-it-happened.html,WSJ: http://online.wsj.com/articles/iraqi-leaders-urged-to-unite-to-push-insurgents-out-of-mosul-1402488724
2014-20,Tikrit,43.4383,34.6,6/11/14,ISIS,It is reported that ISIS killed between 140-160 men in this area between June 14th and 16th 2014,the Guardian: http://www.theguardian.com/world/2014/jun/27/isis-execution-site-tikrit-human-rights-watch,,,,,,
2014-21,Tuz Khumatu ,44.6383,34.8772,6/11/14,ISIS,"10 IEDs targetting Iraqi Army vehicles exploded near town, as well as a car bomb that reportedly killed 21 people placed at a checkpoint ",ISW: http://iswiraq.blogspot.com/,BBC: http://www.bbc.com/news/world-middle-east-27763309 https://maps.google.com/maps/ms?ie=UTF8&hl=en&oe=UTF8&msa=0&msid=206503076099972915830.0004fb81021906110e889&t=m&source=embed&ll=37.561997%2c39.70459&spn=6.094982%2c12.084961&z=6&iwloc=0004fb83527099a223992&dg=feature,,,,,
2014-22,Tarmiyah,33.6644,44.3738,6/12/14,Contested,,LA Times: http://www.latimes.com/world/middleeast/la-fg-iraq-militants-sweep-20140612-story.html,al-Monitor: http://www.al-monitor.com/pulse/security/2014/06/iraq-isis-spread-fears-civil-war.html,,,,,
2014-23,Saadiyah ,34.19,45.1112,6/13/14,ISIS,,NY: http://nymag.com/daily/intelligencer/2014/06/what-is-Isis-Iraq-explainer.html,NYT: http://www.nytimes.com/interactive/2014/06/12/world/middleeast/the-iraq-isis-conflict-in-maps-photos-and-video.html,WP: http://www.washingtonpost.com/world/middle_east/volunteers-flock-to-defend-baghdad-as-insurgents-seize-more-iraqi-territory/2014/06/13/10d46f9c-f2c8-11e3-914c-1fbd0614e2d4_story.html,,,,
2014-24,Jalula ,34.2695,45.1662,6/13/14,ISIS,,LWJ:https://maps.google.com/maps/ms?ie=UTF8&hl=en&oe=UTF8&msa=0&msid=206503076099972915830.0004fb81021906110e889&t=m&source=embed&ll=37.561997%2c39.70459&spn=6.094982%2c12.084961&z=6&iwloc=0004fb83527099a223992&dg=feature,FT: http://www.ft.com/intl/cms/s/0/d46a78f0-f932-11e3-bb9d-00144feab7de.html#axzz35ri02Evn,,,,,
2014-25,Ishaqi,34.01,44.0627,6/14/14,Iraqi Government,,NYT:http://www.nytimes.com/interactive/2014/06/12/world/middleeast/the-iraq-isis-conflict-in-maps-photos-and-video.html,al Arabiya: http://english.alarabiya.net/en/News/2014/06/14/Iraqi-army-claims-control-over-small-town-in-Samarra.html,,,,,
2014-26,Camp Speicher,34.6775,43.5506,6/15/14,Contested,"Various claims, some seem to think the camp is still under the control of the Iraqi Government whilst some eye witness accounts report that ISIS now control the camp. ",Telegraph: http://www.telegraph.co.uk/news/worldnews/middleeast/iraq/10901866/Iraq-crisis-ISIS-jihadists-execute-dozens-of-captives.html,NYT: http://www.nytimes.com/2014/06/29/world/middleeast/iraqi-army-gains-in-fight-to-retake-tikrit.html,,,,,
2014-27,Adhaim ,44.5156,34.565,6/16/14,ISIS,,LWJ: https://maps.google.com/maps/ms?ie=UTF8&hl=en&oe=UTF8&msa=0&msid=206503076099972915830.0004fb81021906110e889&t=m&source=embed&ll=37.561997%2c39.70459&spn=6.094982%2c12.084961&z=6&iwloc=0004fb83527099a223992&dg=feature,NYT: http://www.nytimes.com/interactive/2014/06/12/world/middleeast/the-iraq-isis-conflict-in-maps-photos-and-video.html,,,,,
2014-28,Tal Afar,36.3784,42.4416,6/17/14,ISIS,City seized by ISIS after 2 day battle with security forces ,Telegraph: http://www.telegraph.co.uk/news/worldnews/middleeast/iraq/10906350/Iraq-crisis-map-how-the-Isis-front-line-has-shifted.html,The guardian:  http://www.theguardian.com/world/2014/jun/16/iraq-tal-afar-falls-isis,BBC:  http://www.bbc.com/news/world-middle-east-27865759,,,,
